용어,내용
에어캣 에어보트,‘에어캣’ 에어보트는 하천 및 늪지대 작전용으로 미국에서 제작되어 1964년 베트남전쟁에 실전 배치된 장비이다. 원래는 미국의 플로리다 늪지대를 이동하는 수단으로 개발되었으나 베트남전쟁 발발 이후 베트남 전장에 배치되어 늪지대 이동과 전투에서 큰 활약을 하였다. ‘에어캣’ 에어보트는 42노트라는 빠른 속도는 물론이고 배 밑이 평평한 탓에 기동이 용이하여 순...
F-86D 세이버독 전투기,F-86D는 미국 노스 아메리칸(North American) 사에서 제작한 F-86 세이버의 파생형 전투기로 기존의 세이버를 바탕으로 만든 전천후 요격기이다. 미 공군이 주야간을 불문하고 어떤 기상상황에서도 침공해오는 소련의 폭격기를 요격할 수 있는 본토방어용 전투기를 요구하자 F-86D가 만들어졌다. F-86D는 다른 세이버들과는 달리 기수에 고성능 레이...
O-1A(L-19) 버드독 관측기,"O-1(L-19)은 미국 세스나(Cessna) 사에서 개발한 단발 피스톤 엔진 관측기로, 미 육군의 소요 제기에 따라 민간 소형항공기의 베스트셀러인 세스나 170을 바탕으로 군용으로 개발한 기종이다. 이 기종은 처음에는 L-19로 분류되어 미 공군, 육군 및 해병대에서 포병관측·전선통제·조종사 훈련 등의 임무에 활용되어 왔다. 이후 1962년 L-19는 O..."
T-33A 슈팅스타 훈련기,"T-33A 훈련기는 미국 록히드(Lockheed) 사가 개발한 쌍발제트 훈련기로 미 공군 최초의 제트전투기였던 P-80 슈팅스타의 2인승 훈련기로서 개발되었다. T-33은 1948년부터 1955년까지 면허생산을 포함하여 약 6,500여 대가 생산
되었다. T-33A는 미 공군이, T-33B는 미 해군이 도입하였다. T-33은 P-80과 같이 슈팅스타로 불리..."
T-28A 트로얀 훈련기,"T-28 훈련기는 미국 노스 아메리칸사가 제작한 단발 피스톤엔진 훈련기로, 제2차 세계대전 시기에 사용되었던 T-6텍산(Texan) 훈련기를 대체하기 위해 개발되어 1950년대에 미 공군과 해군 및 해병대에 주력 훈련기로서 도입되었다. 미 공군은 T-28A를, 미 해군은 T-28B/C를 도입하였다. 미 공군은 T-28A을 대체하여 곧 T-34 멘터 훈련기..."
BM-13 132mm 카츄샤 다연장 로켓포,"1939년 소련이 개발한 다연장 로켓포(북한에서는 방사포라 부른다)로 카츄샤 로켓포로 잘 알려져 있다. 제2차 세계대전 당시 독일군과의 전투에서 널리 사용되었으며, 독일군은 독특한 발사음 때문에‘ 스탈린의 오르간’이라는 별칭을 붙이기도 했다. 카츄샤 로켓포는 군용 트럭을 차체로 사용하며, 14~48개의 발사대를 장착한다. 다연장 로켓포의 특성상 정확도는 떨..."
M56 스콜피온 자주포,"1953년부터 1959년까지 미국에서 생산된 대전차 자주포로 미 육군 공수부대를 위해 특별히 개발되었다. 가벼운 차체에 90mm M54 대전차포를 탑재한 것이 특징이다. 헬기로 공수가 가능했으나, 승무원을 보호할 장갑이 장착되지 않아
생존성이 떨어졌다. 베트남전쟁 당시 미 육군 제173 공수여단에 배속되어 운용되었으며, 보병 화력지원에 주로 사용되었다. 1..."
M48A2C 패튼 전차,"M48 전차는 1953년부터 미군에 배치된 중(中) 전차로, 총 12,000여 대가 생산되었다. 전시된 M48A2C 전차는 M48 전차를 기반으로 개량한 전차로, 항속거리가 늘어났으며 성능이 향상된 M17 측거장치를 장착해 전차포의 명중률을 향상시켰다. 우리 군은 1966년 베트남 파병에 따른 전력 보완책으로 M48 전차를 최초 도입하였으며, 1971년 군..."
M107 175mm 자주포,"1962년부터 미 육군에 배치된 자주포로 175mm 평사포를 탑재하고 있는 것이 특징이다. 평사포는 일반 화포에 비해 긴 포신을 가지고 있으며, 포신이 긴 만큼 포구 속도가 빨라 포탄을 멀리 사격할 수 있다. 그만큼 장거리 표적을 공격할
때 매우 유리하다. 이러한 특성을 가진 M107 175mm 자주포는 사거리 연장탄약인 로켓 보조 추진탄을 사용하지 않아도..."
M110 8인치 자주포,"경량 차체에 8인치 중포(重砲)를 탑재한 자주포로 1963년부 터 미 육군에 배치되기 시작하였으며 미 해병대도 운용하였다. 베트남전쟁에서 최초로 실전에 사용되었으며, 걸프전 때도 사용되었다. 걸프전 이후 미군에서는 장비 노후화로
인해 퇴역하기 시작했으며, 포신은 미군의 지하침투용 특수무기인 벙커버스터의 탄체로 재활용되기도 했다. 냉전시절 한국에 배치되었던 ..."
SU-100 자주포,"SU-100은 1944년 소련이 개발한 자주포로 제2차 세계대전 당시 대전차 자주포로 운용되었다. 1945년 7월까지 2,300여 대가 생산되었으며, 제2차 세계대전 종전 후 소련의 동맹국들에게 많은 양이 공여되었다. T-34-85전차의 차체에 100mm 포를 탑재하여 화력이 강했고, 독소전 당시 독일군의 중(重)전차를 격파하는데 주로 사용되었다. 6·25..."
부활호 연락기(대한민국),"부활호는 최초의 국내 제작 항공기로서 항공기 설계 및 제작실습과 연습기로 사용할 수 있는 항공기의 필요성이 제기되어, 공군기술학교 정비교육대의 이원복 소령 주도하에 1953년 6월부터 같은 해 10월 10일까지 제작되었다. 6·25전쟁으로 피폐한 국민의 자존심 회복과 희망을 위해 이승만 대통령은 직접‘ 부활(復活)’이라는 친필 휘호를 선사하였으며, 1954..."
H-19B 치카소 다용도헬기,"H-19B‘ 치카소’다용도헬기는 미국 시코르스키(Sikorsky)사가 개발한 3엽 단발엔진의 다용도 대형 헬리콥터(제작사모델명 S55)로, 1950년 최초로 실전에 배치되었다. H-19는 엔진의 윗부분에 조종실이, 아랫부분에 화물실이 위치하는 독특한 구조로, 화물실에는 전투병 12명이 탑승하거나 들것 8개를 탑재할 수 있어, 세계 최초의 실용적인 대형헬기로..."
H-5H 드래곤플라이 구난헬기,"H-5는 미국 시코르스키(Sikorsky) 사가 개발한 3엽 단발엔진 헬리콥터로, 원래 R-5이란 명칭으로 1945년부터 미 육군항공대에 의해 사용되었다. R-5는 조난된 조종사를 구출하는 구조용 헬리콥터로 실전 배치되었으며, 미 공군이 독립함에 따라 1948년부터 H-5로 명명되어 A/D/E/F/G형의 개량형이 개발되었다, 마지막 모델은 H-5H로 모두 ..."
ALT-Ⅲ 해상작전 헬기,"ALT-III 해상작전 헬기는 1977년 우리 해군이 대잠능력 향상을 위해 프랑스에서 도입하였으며, 잠수함과 함정에 대한 탐색 및 공격용으로 활용하였다. 1988년 도입된 링스(LYNX) 헬기와 함께 대한민국 해군의 주력 대잠헬기로 사용되었다. 전시된 기체는 일본 배로 위장한 북한 무장 모선(母船)을 격침시킨 헬기이다. 곧 1983년 8월 13일 울릉도 ..."
H-13 수 소형헬기,"H-13은 미국 벨(Bell) 사가 개발한 2엽 단발 엔진의 소형 헬리콥터로, 군수용은 인디언 부족의 이름을 차용하여‘ 수(Sioux)’라는 별칭으로, 민수용은‘ 벨 47’로 불렸으며, 미 육군에서는 H-13, 해병대에서는 HTS-4로 분류되었다. 또한 H-13은 연락ㆍ수송 임무를 수행하였으며, 기체 좌측에 후송용 침대를 장착하여 환자 후송용으로 활용되었다..."
UH-1B 이로코이 다용도헬기,"UH-1은 미국 벨(Bell) 사에서 개발한 2엽 단발엔진의 헬리콥터로, 6·25전쟁의 실전경험을 바탕으로 개발되었다. 특히 병력과 장비를 긴급히 철수하기 위한 헬기의 필요성에 따라 벨 모델 204가 UH-1으로 1959년부터 미 육군에 채용
되었다. 최초의 제식명칭이 HU-1(Helicopter Utility)이었기 때문에 UH-1은 휴이(Huey)라는 ..."
이승만 대통령 승용차,"2008년 8월 12일 문화재 등록(등록문화재 제 396호), 차대번호: FW11360 
6.25전쟁 당시 국군 통수권자였던 이승만 초대 대통령이 사용했던 1956년형 캐딜락 승용차로서 6.25전쟁 50주년 특별기획전시회를 위해 수집된 유물이다...."
T-6 훈련기,"미국(美國) North American항공사가 1938년에 개발한 훈련기로 남한측은 광복 후 북한의 공군력 증강에 대비하기 위하여 국민의 성금으로 도입되었다. 1949년 9월 국회와 언론기관 및 사회 각계각층이 참여하여 ""우리 비행기는 우리 손으로 구입하자""는 항공기 헌납운동이 전개되었으며 그 결과 3억 5천만원 (약 30만불)의 성금이 모금되었다. 이 헌..."
Mk4 40mm 4연장 함포,"Mk4 40mm 4연장 함포는 대공 및 대함용 기관포로 지난 1943년부터 미 해군에 배치되었다. 함포로 사용된 40mm 보포스 기관포는 스웨덴 보포스사에서 제작한 기관포로 오늘날까지도 많은 국가들이 사용 중에 있다. 특히 제2차 세계대전 당시 명중률 높은 대공용 기관포로 알려져, 연합국과 추축국이 모두 사용한 진기록을 가지고 있다. 미국은 1941년 보포..."
Mk50 5인치 로켓발사관,미 해군이 지상타격임무용으로 개발한 5인치 로켓은 상륙작전에서 병력의 본격적인 상륙에 앞서 해안의 장애물가 적 병력 및 장비를 일소하기 위해 활용한 것으로 주로 LSMR(로켓장비 중형 상륙정)에서 운용되었다. 5인치 로켓탄은 다양한 탄두와 사거리를 가졌는데 사거리가 길어지면 그만큼 고폭약의 양도 줄어든다는 단점이 있었다. 사거리 2.5km의 Mk12 로켓의...
Mk4 20mm 단연장 대공포,"제2차 세계대전이 발발하자 미 해군은 스위스 오리콘(Oerlikon) 사가 개발한 20mm 기관포를 대공화기로 채용하여 모든 전투함에 본격적으로 사용하기 시작했다. 우선 20mm 단연장포로서 Mk2가 보급되었으며, 이후 부품을 간소화하고 생산성을 높인 Mk4가 개발되어 본격적으로 전시 대량생산이 시작되었다. 단발/연발 선택기능을 갖춘 Mk2와는 달리 Mk4..."
Mk20 20mm 2연장 대공포,"미국이 M2 50구경 중기관총을 대체하여 제2차 세계대전을 맞아 도입한 대공기관포로, 스위스의 오리콘사가 개발한 기관포이다. 기관포 1개만 달린 모델은 Mk4, 2개가 병렬로 장착된 모델은 Mk20으로 분류되는데  Mk20은 ‘트윈 Mk4’라고 불리기도 한다. Mk20은 20mm 포탄을 채용하여 유효사거리 1.6km까지 적기를 요격할 수 있으며, 35도 각..."
Mk30 5인치 38구경 함포,"항공모함이나 미사일이 등장하기 전까지 군함에게 가장 중요하고도 강력한 무기는 바로 함포였다. 얼마나 강력한 함포로 멀리 포탄을 발사할 수 있는가가 해군력의 척도가 되기도 했다. 특히 함포는 해안으로 상륙하는 지상병력을 엄호하기
위한 중요한 수단으로 자리매김해왔고, 이에 따라 제2차 세계대전 중에 미 해군은 전함에는 16인치 함포를, 순양함에는 8인치 함포를..."
Mig-15 전투기,"구소련 최초로 후퇴날개를 채용한 단좌 제트전투기이다. 6·25전쟁에서 미국의 P-51과 P-80을 격추하여 미국에 큰 충격을 주었다. 작고 가벼운 기체에 강력한 엔진을 장비하는 구소련 특유의 전투기 설계사상을 반영해 우수한 상승력을 발휘하였다.
..."
120mm 곡사포 M-30,"소련에서 개발한 견인포로서, 6.25전쟁 시 북한군이 장비했던 곡사포 6.25 전쟁 당시 북한군 보병사단에서 운용했던 화포로서, 한국군의 155mm 야포와 대등한 성능을 가지고 있으며, 북한군 사단 포의 표준형으로서 포구 제동기가 없다...."
T-34 전차,"1940년부터 소련군에 배치된 T-34 전차는 오늘날 제2차 세계대전에 사용되었던 전차 가운데 최고의 전차로 손꼽히고 있다. 러시아에서는 T-34 전차를 “로지아”라고 부르는데 러시아어로 로지아는 조국이란 뜻을 가지고 있다. 그만큼 독소전 당시 독일군의 침공으로 부 터 소련을 지키는데 결정적인 역할을 담당했다. 
..."
14.5mm 중고사 기관총,"1949년 소련에서 생산된 중고사 대공포로, 6·25전쟁 당시 북한군이 대공용으로 운용하였다. 4바퀴의 포가 위에 포가 4문(門) 장착되어 있으며, 포 양쪽에 2개의 탄약상자와 사각형 모양의 포가 설치되어 있는 것이 특징이다.
..."
GAZ-69,"GAZ-69은 정찰 및 전반적인 연락 임무에 사용되었다. 하지만 GAZ-69의 차대 자체는 GAZ-69 대전차 차량, 도하 지점 정찰을 위한 수륙 양용 차량, 지뢰 탐지 차량 등 다양한 차량에 활용되었다.
..."
YAK-18 훈련기,"소련에서 개발한 단발 프로펠러 2인승 항공기로 6·25전쟁 당시 북한군이 조종사훈련, 관측, 연락업무 등에 운용하였다."
F-5A 자유의 투사 전투기,"F-5A/B 프리덤 파이터는 미국 노스럽(Northrop) 사에서 개발한 쌍발엔진의 경량 전술 전투기로서 1962년부터 실전에 배치되었다. F-5는 미국이 동맹국에 공급할 목적으로 개발한 전투기로서 저렴한 가격에도 적절한 성능을 갖추어 20여 개국에 800여 기 이상이 공급ㆍ면허생산되었다. F-5A는 단좌형, F-5B는 복좌형 전투기다. F-5A는 우리 공..."
T-37C 트위트 훈련기,"T-37는 미국 세스나사가 개발한 쌍발 제트 훈련기로 1957년 실전 배치후 52년간 기초훈련기로 사용되어왔다. T-37은 동체의 크기에 비해 주익이 크게 설계되어 저속 특성과 선회성능이 아주 우수하여 기본 비행 특성을 배우기에 이상적인
기체로 평가되고 있다. 또한 조종석이 좌우로 배치되어 안전한 교육이 가능하여 교관조종사들에게 선호되는 항공기였다. 한편 ..."
Type-63 수륙양용 경전차,1963년부터 중국군에 배치된 수륙양용 전차로 소련의 PT-76 전차를 모방 생산했다. 그러나 PT-76 전차의 76mm 주포를 85mm 주포로 교체하여 화력을 강화하였다. 워터제트 추진기를 장착한 Type-63 전차는 수륙양용이 가능한 전차로 하천도하 및 상륙작전에 주로 사용된다.Type-63 전차는 베트남전쟁에서 북 베트남 군에 의해 최초로 실전에서 사...
59식 전차,"1958년부터 중국군에 배치된 59식 전차는 소련의 T-54A 전차를 모방 생산한 것으로 1980년까지 9,500여 대가 생산되었다. 소련의 T-54A 전차와 달리 공랭식 엔진이 장착되었으며 대공 기관총을 추가 장착하였다. 또한 궤도폭이 T-54A 전차보다 넓어졌으며, 이러한 개량으로 습지나 사막에서의 기동성이 향상되었다. 중국을 비롯하여 많은 제3세계 국..."
M46 패튼 전차,"M46 전차는 1950년부터 미군에 배치되었으며, 1950년대 말까지 사용되었다. M26 퍼싱 전차를 개량한 M46 전차는 ‘패튼 전차’로 잘 알려져 있다. 별칭인 패튼은 제2차 세계대전 당시 명장으로 유명했던, 미 육군 장군 조지 S. 패튼을
기리기 위해 붙여졌다. M46 전차는 6·25전쟁 당시 북한군의 T-34 전차에 대항하기 위해, 1950년 8월..."
M36 전차,"M36 전차는 제2차 세계대전 말기 미군에 배치되었으며, 강력한 방어력을 자랑했던 독일군의 타이거 중(重)전차와 판터 전차를 공격하기 위해 개발되었다. 총 1,400여 대가 생산되었다. 6·25전쟁이 발발하자 북한군의 T-34 전차에 대항하기 위해 긴급하게 한국으로 수송되었다. 또한 M36 전차는 우리 군 최초의 전차로 1950년 11월 20일 미군으로부터..."
MIM-23 호크 미사일,"지난 1960년부터 미 육군에 배치된 지대공 미사일로, 중·저고도로 침투하는 적기를 요격하기 위해 1952년부터 개발되었다. 반능동 유도 방식을 사용하는 호크 미사일은 레이더 전파를 목표물에 조사시켜 그 반사원을 미사일이 추적하여
요격한다. 3기의 미사일을 한 단위로 운용하며, 기동성이 우수하여 야전 부대와 같이 움직이며 방공 작전을 수행할 수 있다. 19..."
T8 90mm 대전차포,"T8 90mm 대전차포는 미군의 주력 대형 대공포인 90mm M1과 동일한 직사포로, 강력한 대전차 견인포가 부족하던 미국 지상군을 위하여 제2차 세계대전 동안 개발되었다. 그러나 T8은 개발 지연으로 1944년에서야 시제품이 개발되었는데, 실전평가를 위해 1문이 아르덴느 전투에 투입되었다. 견인식 대전차포의 한계를 느낀 미국은 1945년 6월까지 200문..."
57mm AZP S-60 자동대공포,"57mm AZP S-60 자동대공포는 소련이 이전에 운용하던 37mm 고사포를 대체하기 위하여 1940년대 말에 새롭게 개발한 견인식 자동 대공단장포이다. 1950년부터 실전 배치된 S-60은 중단거리 대공무기체계로서 소련과 공산 국가들 사이에 널리 활용되었으며, 중국에서는 Type 59로 복제 생산되었다. S-60은 접이식 방탄판이 부착되어 있는 것이 특..."
M1943 152mm(D-1) 견인 곡사포,"M1943 152mm 견인포는 1943년 소련의 소총병 군단의 군단급 화력지원을 위해 개발/생산된 견인곡사포이다. D-1이라고도 불리우는 M1943 152mm포는 중량이 가벼워 뛰어난 기동성을 갖추었다. 또한 이중 포구 제동기와 경사진
방탄판을 장착하고 포가 포신보다 긴 것이 특징이다. 6·25전쟁 당시 북한군은 소련으로부터 M1943 152mm 견인포를 ..."
M114A1 155mm 견인포,"1942년부터 미 육군에 배치된 견인포로 제2차 세계대전, 6·25전쟁, 베트남전쟁에서 사용되었다. 미군이 이전에 사용하던 견인포와 달리 처음부터 차량 견인을 염두에 두고 개발된 최초의 155mm 견인포이다. M114 견인포는 개발 당시 M1 견인포로 불리다가, 1962년 미 육군의 제식명칭 표기변경에 따라 이후 M114 견인포로 표기되었다. M114A1 ..."
M115 8인치 견인포,"1939년 미국이 개발한 견인포로 제2차 세계대전에서 처음 사용되었다. 제2차 세계대전 당시 M1 8인치 견인포로 불렸지만, 1960년대 미 육군의 제식 명칭 표기 변경에 따라 이후 M115 8인치 견인포로 표기되었다. 6·25전쟁 당시 주로 미 육군이 운용하였으며, 강력한 화력을 바탕으로 주로 적 후방 지휘소와 병력집결지 및 병참기지 등을 공격할 때 사용..."
M47 패튼 전차,"1952년부터 미군에 배치된 M47 전차는 M4 셔먼과 M46 전차를 대체하기 위해 개발되었다. 1951년부터 1953년까지 8,000여 대가 생산되었으며, 유럽에서 동서 냉전이 시작되면서 서유럽에 우선적으로 배치되었다. M47 전차는 이전의 M46 전차의 차체와 포탑의 형태를 바꾸고 방호력을 강화한 것이 특징이다. 또한 M12 입체식 거리측정기를 장착하여..."
M4A3E8 셔먼 전차,"M4 셔먼 전차는 1942년부터 미군에 배치되어, 제2차 세계
대전 당시 미군의 주력전차로 운용되었다. 별칭인 셔먼은
 미국의 남북전쟁 당시 북군의 명장군이었던 셔먼의 이름에서
 따왔다. 제2차 세계대전 당시 독일과 구소련의 전차들에
 비하여 성능 면에서 떨어졌지만, 우수한 신뢰성 덕분에
 제2차 세계대전에 등장한 전차들 가운데 가장 많은 수가
 생산되었다..."
K-1 전차,"K-1 전차는 1970년대 말부터 국내 기술로 개발된 전차로 1986년부터 양산에 들어가 1987년 육군에 배치되기 시작했다. 배치 당시부터 88전차로 명명되었는데, 이는 1988년 서울 올림픽을 성공적으로 수행한다는 의미가 담겨져 있었다. K-1 전차는 주포로 105mm 강선포(KM68A1)를 장착했다. 주포의 성능은 북한군의 주력전차인 T-55/62 전..."
KM900 경장갑차,"이탈리아의 피아트사에서 1960년대 말부터 생산된 차륜형 장갑차로, 우리 군은 1970년대 중반 북한의 특작부대 침투대비와 수도권 방어를 위해 도입하였다. 당시 독일의 UR416 장갑차도 후보 차종에 속했지만 분쟁지역에 무기수출을 금하는 독일의 헌법 때문에 CM6614 경장갑차가 선정되었다. 국내에서 면허 생산된 CM6614 경장갑차는 KM900이라는 제식..."
M113A1 장갑차,"각종 계열차량을 포함해 8만여 대가 생산된 M113 장갑차는 전 세계적인 베스트셀러 장갑차로 특히 전장의 택시라는 별칭으로 널리 알려져 있다. 1960년부터 미 육군에 배치된 M113 장갑차는 병력수송 목적으로 개발되었으며, 박스형
차체는 병력수송이나 화물적재가 용이했다. 알루미늄 합금으로 차체를 제작한 최초의 장갑차로, 이전의 장갑차들에 비해 차량의 무게..."
M125A1 자주박격포,"M113A1 장갑차 계열 차량인 M125A1 자주박격포는, M113A1 장갑차의 승무원 실에 M29 81mm 박격포 1문을 탑재 하고 있어 보병 수송 능력 없이 박격포 포반 인원 5명만 탑승한다. 미 육군 기계화 부대에 배치되어 화력 지원에 사용되었다. 그러나 이후 미 육군이 화력이 센 107mm와 120mm 박격포를 선호함에 따라 81mm 박격포를 장착한..."
K200 한국형 보병전투장갑차,"K200 장갑차는 우리나라가 독자 개발한 보병전투장갑차로, 지난 1984년부터 생산되어 육군의 주력 장갑차로 운용되고 있다. 제식명칭인 K200의“ 200”은 개발 당시 목표로 세웠던 결함 발견 200개를 상징하고 있다. 1980년부터 개발이 시작된 K200 장갑차는 산악지형이 많은 우리나라의 전장 환경을 고려하여, 높은 기동성을 갖도록 설계되었다. 또한 ..."
M1 90mm 곡사포,"1940년부터 1950년대까지 미 육군이 사용한 견인 대공포로, 제2차 세계대전과 6·25전쟁 때 사용되었다. 대구경대공포로 중·고고도로 비행하는 폭격기와 전투기를 요격하기 위해 개발되었다. 그러나 1950년대 이후부터 지대공 미사일이 등장하자 점차 퇴역하기 시작했다. 제2차 세계대전 당시 레이더와 연계한 고도의 사격통제장치를 장착해 당시 대공포 가운데 가..."
M1938 120mm 박격포,"소련군은 50mm, 82mm, 107mm, 120mm, 160mm 박격포를 채용하였는데, 특히 M1938 120mm 박격포는 1938년 소련이 개발한 박격포로 제2차 세계대전 당시 뛰어난 성능을 자랑했다. 120mm 박격포는 전쟁 동안 최고의 포병
장비 중 하나로 꼽혔으며 16kg의 포탄은 6,000m까지 날려보낼 수 있었다. 독일군도 120mm 박격포의 ..."
M577 지휘용 장갑차,"M113 장갑차를 개조한 지휘용 장갑차로 내부에 각종 지휘·통신용 장비를 탑재한 것이 특징이다. 또한 차체가 M113 장갑차보다 60cm 정도 높고 장갑차 뒤쪽에 지휘소용 텐트를 설치하기 용이하게 설계되었다.
M113 장갑차와 함께 우리 군에 도입된 M577 지휘용 장갑차는 기계화 부대에서는 지휘용 장갑차로, 자주포 부대에서는 포병사격지휘차로 사용되었다. ..."
M16 4.5인치 로켓,"1945년 4월부터 미 육군에 배치된 무유도 로켓으로 미 해병대에서도 운용했다. M16 4.5인치(110mm) 로켓은 T66 발사대에서 주로 사용되었으며, 발사대는 24개의 발사관으로 구성되어 있으며 차량으로 견인 이동했다. 제2차 세계대전 말기 태평양 전선의 미 해병대가 오키나와와 필리핀에서 사용했으며, 미 육군의 경우 유럽 전선에서 일부 사용되었다. 6..."
스커드-B 전술탄도 미사일,"1964년부터 소련군에 배치된 스커드-B 미사일은 7,000여발이 생산되어 제3세계 많은 국가에 판매되거나 공여되었다. 스커드-B 미사일은 재래식 탄두뿐만 아니라 핵이나 화학탄두를 장착 할 수 있으며 이동식 발사대에서 발사되어 탐지가
매우 어렵다. 그러나 명중률이 낮아 재래식 탄두보다는, 피해가 큰 핵탄두나 화학탄두를 사용해 명중률을 상쇄한다. 스커드-B ..."
MIM-14 나이키 허큘리스 미사일,"1950년대 고고도로 비행하는 구소련의 폭격기와 탄도 미사일을 요격하기 위해 개발되어, 12개국에서 운용하였다. 주요 특징으로는 핵탄두 탑재가 가능하며, 지대지 미사일로도 사용이 가능하다. 우리 군은 지난 1965년부터 나이키 허큘리스 지대공 미사일을 도입하여 배치하였으며, 1970년대 말에는 주한미군이 운용 중이던 나이키 허큘리스 지대공 미사일을 인수하기..."
M167 발칸 대공포,"지난 1960년대 중반부터 미 육군과 공군에서 사용된 M167 발칸대공포는 공군 기지와 헬기 기지를 방어하기 위해 개발된 저고도 대공무기체계이다. M167 발칸대공포에 사용된 20mm M61 발칸포는 전투기의
기총으로 개발되었으며, 6개의 포열이 고속으로 회전하면서 짧은 시간에 최대 수천 발의 기관포탄을 발사한다. 무게가 가벼워 헬기를 통한 공중 수송이 가..."
Mk2 40mm 2연장 함포,Mk2 40mm 2연장 함포는 대공 및 대함용 기관포로 지난 1943년부터 미 해군에 배치되었다. 함포로 사용된 40mm 보포스 기관포는 스웨덴 보포스사에서 제작한 기관포로 오늘날까지도 많은 국가들이 사용하고 있다. 특히 제2차세계대전 당시 명중률 높은 대공용 기관포로 알려져 연합국과 추축국이 모두 사용한 진기록을 가지고 있다. 미국은 1941년 보포스사와...
MGM-52 랜스미사일,"랜스 미사일은 1972년부터 미 육군에 배치된 단거리 탄도미사일로, 어네스트죤 로켓과 서어전트 탄도 미사일을 대체하기 위해 개발되었다. 냉전시절 전술 핵무기의 투발 목적으로 개발된 랜스 미사일은 핵탄두와 함께 강력한 방사선으로 인명을 대량 살상하는 중성자탄도 탑재할 수 있다. 고폭탄두를 장착할 경우 적의 강화된 진지를 공격할 수 있다. 또한 자탄을 장착할 ..."
T-34-85 전차,"1940년부터 소련군에 배치된 T-34 전차는 오늘날 제2차 세계대전에 사용되었던 전차 가운데 최고의 전차로 손꼽히고 있다. 러시아에서는 T-34 전차를 ‘ 로지아’라고 부르는데 러시아어로 로지아는 조국이란 뜻을 가지고 있다. 그만큼
 독소전 당시 독일군의 침공으로부터 소련을 지키는데 결정적인 역할을 담당했다. T-34-85 전차는 1944년부터 소련군에 ..."
LVTP-7 상륙장갑차,"병력 수송용으로 개발된 LVT-P7 상륙장갑차는 1972년 미 해병대에 배치되었다. LVT-P7 상륙장갑차는 이전의 상륙장갑차들과 달리 워터제트 추진기를 장착해 해상에서의 속도가 빨라졌다. 또한 육상과 해상에서 제자리 360도 회전이
 가능했고, 차체를 특수 알루미늄으로 제작하여 방호력은 증대되었고 중량은 가벼워졌다. 우리 해병대는 1974년부터 LVT-P..."
LVT-3 상륙장갑차,"1944년부터 미군에 배치된 LVT-3 상륙장갑차는 해상에서 육상으로 병력 및 장비를 수송하는데 사용된 장비이다. 상륙돌격장갑차가 탄생하기 이전에는 상륙주정이 상륙작전에 사용되었다. 그러나 상륙주정은 몇 가지 문제를 가지고
있었다. 병력이나 장비를 수송하는 데는 상당히 유용했지만, 파도와 해안의 조건에 따라 접안 능력이 부족할 때가 많았다. 또한 출구 램프..."
F-4C 전폭기(F-4C Fighter-Bombe),"F-4 ‘팬텀 Ⅱ’ 시리즈는 미국 맥도넬 더글러스 사가 개발한 2인승 초음속 전폭기이다. 이 중 F-4C는 첫 공군 사양의 F-4 계열로, 해군 함재기로 운용하였던 F-4B를 바탕으로 하여 지상 활주로 운용 및 공중급유에 적합하도록 구조를 일부 변경한 기종이다.
1963년 11월 미 공군에 실전 배치, 1965년부터 베트남 전쟁에 투입되어 적 항공기 요격 ..."
선양 J-6 전투기(Shenyang J-6 Fighter),"중국 선양 항공기공업 유한공사가 생산한 1인승 초음속 전투기로 구소련 MiG-19 전투기의 면허생산 기종이다. 1959년 초도 비행에 성공하였으며 1962년부터 인민해방군 공군에 실전 배치되었다. 구소련의 MiG-19는 1968년 이후 생산 중단했으나 J-6는 1986년까지 약4,500여 기를 생산하였으며, 중국의 우방국에는 F-6라는 이름으로 수출되었다...."
T-41B 메스칼레로 훈련기,"T-41‘ 메스칼레로’는 미국 세스나사가 제작한 단발 피스톤엔진 훈련기로, 베스트셀러 민간항공기인 세스나 172 모델을 군용으로 제작한 것이다. T-41은 조종석이 좌우에 있는 기초 훈련기로 체공시간이 길고 안전성이 입증되어 학생조종사의 초등 비행훈련기로 사용되었다. T-41은 A/B/C/D의 4가지 형태가 존재하는데, T-41A와 C는 미 공군이, T-4..."
AH-1J 코브라 공격헬기,"AH-1 코브라는 미국 벨(Bell) 사가 개발한 세계 최초의 공격헬기로, 이전까지 수송수단으로만 여겨지던 헬리콥터를 무기체계로 인식시킨 계기가 된 역사적인 헬리콥터이다. AH-1은 다용도 헬기인 UH-1의 엔진과 로터 및 구동 계통, 그리고 테일붐을 그대로 가져와서 개발되었다. 하지만 AH-1은 사수석과 조종석을 전후로 배열하여 피격가능성을 줄이고, 기체..."
조선시대 각궁,"각궁은 우리나라 활 중에서 가장 대표적인 활이다. 쇠뿔의 장점을 최대한으로 활용하여 제작한 것으로 한국의 대나무, 물소뿔, 쇠심, 구지뽕나무, 참나무, 화피의 6가지 재료로 구성된다. 해당 유물은 무형문화재 궁장(弓匠)인 권영록이 일반적인 각궁을 제작한 것이다. ..."
소승자총통,"소승자총통은 조선 중기에 제조된 불씨를 손으로 점화, 발사하는 유통식(有筒式) 화기이다. 승자총통을 개량한 화기이다. 국립중앙박물관 차입 유물이다."
조선시대 노궁,노궁은 일종의 기계식 장치에 의해 화살을 쏘는 쇠뇌에 장착하는 큰 활을 말한다.
