용어,설명
"주 저항선 [Main Line Of Resistance, 主抵抗線]",항공 및 함포를 포함한 모든 지원 부대의 사격을 협조하기 위하여 지정된 전투 진지 전단을 연결한 선. 상호 지원하는 일련의 방어 지역의 전방 한계선을 확정하며 엄호 부대나 경계 부대가 점유 또는 사용하는 지역은 포함되지 않는다.
"주퇴 [Recoil, 駐退]",포신 및 기타 운동부가 추진제 연소시 발생하는 힘에 의해 후방으로 운동하는 일.
"주파장 [Wave Commander, 舟波長]",상륙 주정이나 수륙 양용차에 탑승하여 주파를 형성하고 주정단장의 지시하에 주파의 모든 이동을 통제하는 장교.
"주행 위치 [Running Fix, 走行位置]",같은 시각에 얻지 못한 2개 또는 2개 이상의 위치선(position line)을 공통 시간으로 조정하여 구한 교차 위치.
"중추 전송로 [Backbone, 中樞傳送路]",(1) 소규모의 구내 정보통신망(LAN) 또는 지선 구내 정보통신망(branch LAN) 상호 간의 통신을 전송하는 주요 전송로. (2) 패킷 교환망에서 통신의 대부분을 전송하기 위한 주요 전송로. (3) 광역 통신망(WAN)에서 주요 노드(major node)를 연결...
"증강 작용제 [Thickened Agent, 增强作用劑]","주로 화학 작용제를 끈적한 액체와 섞거나 다공성 분말 등에 넣어 독성 증기 등이 서서히 나오게 하거나 지표면에 오래 남아 있게 하도록 만든 작용제. 강화 작용제, 농화 작용제, 증점 작용제라고도 한다."
"지구타원체 [Earth Ellipsoid, 地球楕圓體]",부피와 모양이 실제의 지구와 가장 가까운 회전 타원체를 지구의 형상으로 규정한 타원체. 지구의 형상과 가장 가까운 등중력 면인 지오이드와는 달리 실제 해수면을 수학적으로 가장 비슷하게 나타낼 수 있는 기하학적인 지구의 형상이다.
"지능형 로봇 [Ubiquitous Robotic Companion, 知能型robot]","인간과의 상호 작용을 통하여 인간의 명령 및 감정에 반응하고, 정보통신 기술을 바탕으로 인간에게 다양한 서비스를 제공하는 로봇."
"지대 [Zone, 地帶]","(1) 요새 지역, 방어 진지, 전투 지역, 교통 통제 지역 등과 같이 대체로 전선에 평행한 전술상의 중요 지역. (2) 종심으로 수 개의 철조망이 설치되어 있는 좁고 긴 지역. (3) 고도를 최소각으로부터 최대각으로 변화시킬 때 탄환이 낙하하게 될 지역."
"지뢰 부설 장치 [Mine Scattering System, 地雷附設裝置]",단시간에 대량의 지뢰를 부설해 지뢰원을 구성하는 시스템.
"지리 정보 시스템 [Geographic Information Systems, 地理情報system]","제반 지형적 현상의 특성 또는 분포를 그 현상의 발생 영역과 공간적 · 시간적 위상 관계를 고려하여 처리 및 해석하는 정보 체계. 즉 지리적 · 공간적 데이터를 보다 효율적으로 수집 · 저장 · 조작 · 분석 · 표현할 수 있도록 고안된 컴퓨터 하드웨어, 소프..."
"지면 투과 레이더 [Ground Penetrating Radar, 地面透過radar]","광대역의 임펄스 파형을 이용하여 지표면을 탐사하는 레이더. 광대역 전자기파를 지표면이나 구조물의 표면에 입사시킨 후, 연속적으로 매질 경계면에서 반사되어 되돌아오는 파를 수신하여 매질 특성을 영상화함으로써 지하 매질에 존재하는 대상..."
"지상 거리 [Ground Range, 地上距離]","레이더 영상에서 항공기나 인공위성에 탑재된 센서가 통과하는 위치를 지표면에 투영한 지점으로부터 특정 대상물까지의 거리. 레이더 영상은 경사 거리(slant range)로 촬영되며, 이를 보정하여 지상 거리로 변환하여 준다."
"지역 RTI 구성 요소 [Local RTI Component, 地域RTI構成要素]",전통적인 시뮬레이션에서 CI(Communication Interface) 역할을 담당하여 전체 연합(federation)과 각 연합 참여 체계(fedetate)의 LBTS(Low Boundary Timestamp)를 협조적으로 전진시키기 위해 연합 참여 체계에 포함된 런타임 기반 구조...
"지연 폭발 장치 [Delayed Arming Mechanic, 遲延爆發裝置]",신관이 표적에 충격하고부터 일정 시간이 경과한 후에 폭발하도록 만들어진 장치. 견고한 표적을 관통하거나 도비 작용에 의한 공중 파열을 얻기 위하여 사용한다.
"지형 측량 [Topographic Surveying, 地形測量]",지표면의 형상을 묘사하기 위한 측량. 지형도를 만들기 위해 수행된다.
"직접 항공 요청망 [Direct Air Request Net, 直接航空要請網]",전술 항공 통제반(TACP)에서 항공 지원 작전 본부(ASOC)로 긴급 항공 요청을 하는 항공망. 공군 항공 요청망이라고도 한다.
"진지 강화 [Consolidation Of Position, 陣地强化]",적의 역습에 대비하여 점령 진지를 새로이 편성하거나 보강하는 일.
"질량 분석기 [Mass Spectrometer, 質量分析器]","질량 분석으로 화학 작용제를 식별 또는 분석하는 기기. 모든 종류의 유독 가스를 탐지할 수 있는데, 극미량 농도 분석부터 성분 분석까지 가능하다. 분석 결과는 라이브러리(library)와 비교할 수 있고, 야전에서 휴대 및 분석이 가능한 소형 기기도 있다."
"집적형 안테나 시스템 [Integrated Antenna System, 集積形antenna system]",안테나 복사기 구조 내부에 능동 소자나 비선형 소자 또는 이들 회로를 물리적으로 결합시킨 안테나.
"징후 및 경보 [Indications And Warning, 徵候警報]","적의 취약성이나 특정 능력의 낌새, 또는 지휘관의 방책 선택에 영향을 미칠 수 있는 적의 활동 및 그에 대한 경보."
"차륜형 [Wheel Type, 車輪型]","전차, 장갑차 등의 구동 수단이 궤도 형태가 아닌 바퀴 형태인 것."
"차장 연막 [Screening Smoke, 遮障煙幕]","적의 지상 및 공중 관측 능력을 저하시키기 위해 아군과 적군 사이 또는 아군 부대 작전 지역에서 운용되는 연막. 적의 전자 광학 체계를 무력화시키거나 효과를 감소시킬 목적으로 사용된다. 또한 기동로 개척, 역습, 중요 집결지 및 보급로 은폐 등을..."
"천문 위도 [Astronomical Latitude, 天文緯度]",지구상의 어떤 한 점에서 지오이드에 대한 연직선이 천구의 적도면과 이루는 각.
"철도 이동 관리반 [Railway Movement Control Team, 鐵道移動管理班]","책임 지역 내 부대로부터의 수송 소요 접수 · 처리, 수송 장비 획득 및 적화역 감독, 지역 내를 통과하는 철도 수송 이동 관리, 급식 요청에 의한 이동 간 급식 제공 및 안내 등의 수송 업무를 수행하는 관리반."
"첩보 평가 [Evaluation Of Information, 諜報評價]","첩보 내용과 사실과의 차이를 찾아 그 진실성 여부를 검토하는 작업. 첩보의 적합성, 출처의 신뢰성, 첩보의 정확성 등을 평가한다."
"첩보 해석 [Interpretation Of Information, 諜報解析]",주제에 대한 현존 지식과 관련시켜 첩보의 의의를 결정하는 행위. 첩보를 분석하고 종합하여 타당성 추리를 염출하는 과정을 밟는다.
"체적 측량 [Volume Surveying, 體積測量]","토공량(土工量)이나 담수량(湛水量)을 산정하기 위한 측량. 단면법, 점고법, 등고선법 등이 있다."
"초고속 지표 수송기 [High Speed Surface Transport, 超高速地表輸送機]","항공기의 날개와 다리를 떼어 낸 동체(胴體)만을 전자석의 흡인력으로 공중에 뜨게 하고, 선형(線形) 모터나 제트 추진기로 전진시키는 고속 지표 수송기."
초도 생산 시험 [初度生産試驗],초도 생산품에 대한 품질 보증 여부를 판단하기 위하여 실시하는 시험.
"초장 기선 간섭계 [Very Long Baseline Interferometry, 超長基線干涉計]","서로 멀리 떨어져 있는 전파 망원경을 이용하여 천체의 정확한 위치를 얻는 전파 간섭 기술. 전파 간섭계는 그것을 구성하고 있는 망원경들 사이의 거리가 멀수록 좋은 공간 해상도를 가지며, 공간 해상도는 두 물체를 분리하여 볼 수 있는 최소각을 의미..."
"초전도 전자 추진 [Super conduction Electro Magneto Hydrodynamic Propulsion, 超傳導電子推進]",기계 동력을 이용하지 않고 전자력을 이용하여 물의 흐름을 가속하여 추진력을 얻는 방식. 과정은 원동기→직류 발전기→초전도 전자석→전자력 발생→추력 발생 순으로 진행된다. 초전도 자석으로 해수에 강한 자장을 형성하여 그 자장 중에 전류를...
"총톤수 [Gross Tonnage, 總ton數]","(1) 선박의 용적을 톤으로 표시한 것. 선박의 선수와 선미에 있는 웰 갑판, 환기 및 조명 장치, 밸러스트 탱크 등의 용적을 제외한 나머지를 선박 용적률로 나눈 수이다. 선박을 등록할 때 이 톤을 사용하기 때문에 '등록 톤수'라고도 한다. (2) 법적 선박..."
"해군 특수전 [Naval Special Warfare, 海軍特殊戰]","특수 훈련을 받은 해군 요원들이 은밀히 행하는 특수 작전. 해안 및 하천의 방어, 비정규전, 심리전, 해안 정찰, 가장 및 기만, 특수 정보 수집 등이 포함된다."
"해독 [Detoxication, 解毒]","생체 내의 독성 물질을 제거하거나 독성 증상을 없애는 일. 제독의 한 분야이다. 편의상 제독은 생체 외부, 해독은 생체 내부에 대하여 사용할 때가 많다."
"해독 체계 [Detoxification System, 解毒體系]",인체에 치명적인 화생방 작용제로부터 인명을 보호하기 위하여 제공되는 예방 · 치료 · 진단 등의 모든 의학적 대응 체계. 사용 시점에 따라 전 처치와 후 처치로 구분된다.
"해변 편성 [Beach Organization, 海邊編成]",상륙 작전 시 해변 지역에서의 원활한 이동 · 보급 · 후송을 위한 인원과 시설의 계획적인 배치.
"해상 제대 [Sea Echelon, 海上梯隊]",상륙 작전 기간 중에 수송 함정 구역 밖이나 외해의 지정된 구역에서 요청 대기 상태로 운용되는 돌격 함선의 일부. 적 공격에 대비하여 수송 함선을 분산시키고 소해의 필요성을 감소시키는 데 그 운용 목적이 있다.
"해수면 고도 [Sea Level, 海水面高度]",바다 표면의 평균 높이. 썰물과 밀물의 중간 고도를 말한다.
"해안 지원 지역 [Beach Support Area, 海岸支援地域]","해안 부대 단위들이 상륙 해안 일대에 설치하고 운영하는 지역. 부대와 물자를 양륙하고 육상에 있는 부대를 지원하기 위한 시설과 사상자, 포로, 노획 물자를 후송하기 위한 시설이 갖추어져 있다."
"해안 집적소 [Beach Dump, 海岸集積所]",(1) 보급품의 수령 및 불출을 위하여 해두보에 설치하는 임시 보급소. (2) 상륙 지원대가 이용하는 해안 지역에 설치하는 임시 보급품 저장소.
"해양력 [Maritime Power, Sea Power, 海洋力]","국가 이익을 증진하고 국가 목표를 달성하며 국가 정책을 수행하기 위하여 해양을 통제하고 사용할 수 있는 국가의 역량. 해양력은 해군력 이상의 것으로 해운 · 자원 · 기지 · 기관을 포함하는 용어이며, 국가의 정치력 · 경제력 · 군사력으로 전환되는 국..."
"핵심 표적 [High Payoff Target, 核心標的]",지휘관이 임무 수행을 위해 반드시 공격하고 획득해야 하는 표적. 정보 참모로부터 제공된 고가치 표적과 지휘관의 표적 처리 지침을 기초로 하여 작전반에서 결정한다.
"핵우산 [Nuclear Umbrella, 核雨傘]",핵무기가 없는 나라가 국가의 안전 보장을 위하여 의존하는 핵무기 보유국의 핵전력을 비유적으로 이르는 말.
"헤드 마운트 디스플레이 [Head Mounted Display, Head Mount Display]",헬멧에 장착된 화면에 입체 영상을 나타나게 하는 장치.
"헬기 지시 본부 [Helicopter Direction Center, hel機指示本部]",전구 항공 통제 본부(TACC) 또는 항공 지원 작전 본부(ASOC)의 전반적 통제하에 지정된 통제 구역 내에서 작전 중인 모든 회전익 항공기의 활동을 통제하는 기구.
"헬기파 상봉점 [Helicopter Wave Rendezvous Point, hel機波相逢點]",헬기 편대가 임무를 수행하기 전에 집결하여 헬기파를 구성하는 항공 통제점.
"협정 [Agreement, Convention, Memorandum Of Agreement]",행정부가 다른 나라의 정부와 맺는 약정. 국제법상의 효력은 조약과 같으나 엄격한 형식을 갖추지는 않는다.
"호위함 [Convoy, Frigate, 護衛艦]","적의 잠수함, 항공기 따위로부터 선단이나 항공모함을 호위하는 일을 맡은 군함. 대함 · 대공 미사일 따위의 공격 무기를 갖추고 있다."
"홀 소자 [Hall Element, Hall素子]",전류를 흘리는 두 개의 단자와 이와 직교 방향인 두 개의 측정 단자를 갖춘 반도체 소자. 이 소자에 수직 방향으로 자계를 가하면 측정 단자 간에 자계에 비례한 전압이 발생한다는 홀 효과를 이용해 자계의 검출이나 계측을 행한다. 자계의 검출 강도가...
"화력 수색 [Reconnaissance By Fire, 火力搜索]",적 진지로 의심되는 곳에 사격을 지향하여 적으로 하여금 이동하거나 응사하게 함으로써 적 소재를 폭로케 하는 수색 방법.
"화물 인도 영수증 [Cargo Delivery Receipt, 貨物引渡領受證]","한미 간의 군원 물자 인계인수에 사용되는 증표. 한미 인계인수자가 상호 서명하고 선박에서 인계인수할 때에는 선창(船艙)에서 사용되는 증표를 말한다. 화물 인계 증표는 수송 통제 이동 서류(TCMP) 또는 해치 탤리(hatch tally)라고도 하며, 선창 검..."
"화생 겸용 질량 분석기 [Chemical Biological Mass Spectrometer Ⅱ, 化生兼用質量分析器]","이원화하여 운용되고 있는 화학 및 생물학 작용제 탐지를 단일화한 장비. 액체나 증기 상태의 화학 및 생물학 작용제를 식별할 수 있으며, 지표면의 화학 작용제(신경 작용제, 수포 작용제 등) 및 독성 산업 물질(TIC, Toxic Industrial Compounds)을 탐..."
"화생방 [Atomic, Biological And Chemical, Chemical, Biological, Radiological, 化生放]","화학, 생물학, 방사능을 아울러 이르는 말."
"화생방 방호 품목 [Hardness Critical Item, 化生放防護品目]","일방적인 운용 환경에 맞추어 설계 · 수리 · 제조 · 설치 · 유지할 수 있으나 핵 방호 특성을 고려하지 않으면 화생방 환경하에서 체계의 생존성을 저하시키는 조립체 수준의 주요 임무 기능 품목을 식별하기 위한 부호. 핵방호 특성 고려 대상은 Y로, 핵방..."
"화학 에너지탄 [Chemical Energy Projectile, 化學energy彈]",비행체 자체에 폭약을 내장하여 목표물에 충돌하거나 근접하면 폭약을 폭발시켜 그 에너지에 의해 목표물을 관통하는 탄약.
"활공 비행 [Glide Flight, 滑空飛行]",항공기가 엔진을 공회전(Idle) 상태로 하거나 추력을 0으로 하고 비행기의 기수를 내려 무동력 상태로 하강하는 비행.
"활성화 [Enabled, 活性化]","프로그램, 작업, 검사 기능을 사용할 수 있음을 나타내는 상태. 예를 들어, 예약 검사 기능이 활성화된 경우 지정된 날짜와 시간이 되었을 때 예약 검사가 실행된다."
"회전 반지름 [Radius Of Gyration, Turning Circle, 回轉半--]","강체(剛體)의 전체 질량을 한 점에 모아 회전축에서 떨어진 거리의 어떤 지점에 놓았다고 가정하였을 때, 그 관성 모멘트가 본디의 강체의 관성 모멘트와 같아지는 거리."
"후진 [Setback, 後進]",포탄을 발사할 때 포신 내의 자유로이 움직이는 부품이 관성 때문에 급격히 뒤쪽으로 밀리는 현상.
"후퇴 이동 [Retrograde Movement, 後退移動]","부대가 후방으로 이동하거나 적으로부터 이탈하기 위하여 계획적으로 후퇴하는 작전. 적의 압력에 의하거나 자의에 의해 실시되며 이와 같은 후퇴 이동은 철수, 철퇴 및 지연전의 형태로 구분할 수 있다."
"휘발성 물자 [Volatility Supplies, 揮發性物資]",기화 또는 승화 작용으로 감량 현상을 나타내는 물자. 저장 시 현품에 표시된 주의 및 경고 사항을 준수한다.
"휘발성 유기 화합물 [Volatile Organic Compound, 揮發性有機化合物]",탄화수소류 중 기름 및 유해 액체 물질. 「대기환경보전법」제2조 제10호에 해당하는 물질을 말한다.
탄도 정점 [彈道頂點],수평 사격 시 기선 탄도의 정점.
탄약 적재 메커니즘 설계 기술 [彈藥積載mechanism設計技術],"탄과 장약을 적재하는 장치에 관한 설계 기술. 구조 설계 기술, 메커니즘 설계 기술 및 구동 장치 설계 기술 등으로 구성된다. 구조 설계 기술은 탄 및 구조물에서 발생되는 정적 · 동적 하중에 대한 구조 진동과 모델 특성 해석 기술, 동적 안정성 해석..."
"탑재 전대 [Embarkation Group, 搭載戰隊]","함선에 탑승하거나 탑재(전투 적재)하게 될 인원과 보급품 및 장비의 임시적 행정 편성. 그 편성은 탑재가 완료됨과 동시에 해체된다. 통상적으로 탑재 단대는 둘 이상의 탑재팀으로, 탑재 분대는 둘 이상의 탑재 단대로, 탑재 전대는 둘 이상의 탑재 분..."
테스트 파일럿 [Test Pilot],항공기의 성능 따위를 시험하기 위하여 비행하는 조종사.
테일 파이프 [Tailpipe],왕복 엔진이나 가스 터빈 엔진에서 배기 가스가 엔진에서 배출되는 배기 장치의 한 부분. 소음기가 왕복 엔진의 배기 장치에 장착된다면 테일 파이프는 소음기에 연결되어 배기가스를 밖으로 배출한다.
"텔레비전 유도 [Television Guidance, television誘導]","비행체에 부착한 TV 영상관으로 얻은 목표 정보를 통제소의 TV 화면에 비추어 미사일, 포탄, 폭탄 등을 목표에 적중할 수 있도록 유도하는 일. 목표가 멀리 떨어져 있어도 정밀한 영상 획득이 가능하므로 정밀한 유도가 가능하다."
"통신 투하지 [Communication Drop Spot, 通信投下地]",항공기 따위에서 통신문을 넣은 통을 떨어뜨리는 지점.
"통제 [Control, Control Standard, 統制]",지휘관이 예하 부대 또는 타 편성체에 대하여 행사하는 권한. 지휘보다는 제한된 권한을 의미한다.
"통제함 [Control Ship, 統制艦]",상륙 작전 시 해안을 왕래하는 해상 교통을 통제하고 통제 본부의 역할을 하는 함정.
트러스 [Truss],세로대(longeron)와 가로 지주(cross braces)로 구성되는 구조물의 하나. 주 빔(main beam) 사이의 압축 하중은 압축 받침대라는 경질의 가로 지주(rigid cross brace)가 받는다. 인장 하중은 주 빔과 크로스 지주 사이에 연결된 대각대(diagonal w...
"특수 목적 장비 [Special Purpose Equipment, 特殊目的裝備]",특수한 목적을 위해 사용되는 장치와 설비.
"특수 물자 부호 [Special Material Content Code, 特殊物資符號]",품목이 특수한 취급 · 관리를 요구하는 특수 물자인지 또는 그러한 특수 물자를 포함하는지를 나타내는 부호.
"특수 소요 [Special Requirement, 特殊所要]",특수한 용도를 가진 소요. 현재 미군이 사용하는 용어이다. 특수 소요에는 가산 운영 계획량(AOP)과 특수 우발 재고(SCS)의 두 가지가 있다. 가산 운영 계획량은 특수 군수 지원 소요 또는 정상적인 인가량을 초과하여 발생되는 소요를 지원할 계획된...
"특수 인가 프로그램 [Special Access Programs, 特殊認可program]","동일한 수준의 첩보에 요구되는 보안 조치 이상의 향상된 보안 조치들(보호, 인가 요구 등)을 적용하는 모든 국방부 프로그램 혹은 활동."
"특수 장비 [Special Equipment, 特殊裝備]",화학 무기의 생산 · 제조 · 저장 등에 사용되는 장비.
"간선 분배 장치 [Trunk Distribution Unit, 幹線分配裝置]",IP 경로 지정 기능과 동시에 회선 및 데이터 통신 채널을 다중화하여 기존 회선망의 변경 없이 고속의 데이터 통신 서비스를 제공하는 장비.
"간섭 분석 [Interference Analysis, 干涉分析]",주파수를 효율적으로 이용하고 최적의 보호 대역을 산출하기 위하여 단일 주파수 및 다수 주파수에서 제안된 시스템과 기존에 존재했던 시스템과의 충돌을 분석하는 것.
"간이 집단 보호 시설 [Simplified Collective Protection Equipment, 簡易集團保護施設]","10명 이내의 인원에게 화생방 공격의 위협으로부터 안전한 공간을 제공하기 위한 저비용 · 경량화 화생방 집단 보호 시설. 무게는 230kg 정도이고 내부 공간은 약 3.7m2이며, 양압 장치를 갖추고 있다."
"간접 방공 [Indirectness Antiaircraft Defense, 間接防空]","적의 항공기 생산 시설이나 땅 위에 있는 적기 따위를 아군의 항공기가 먼저 공격하여, 아군에 대한 적의 공습 능력을 없애는 간접적인 대공(對空) 방어."
갈고리 [Hook],화물 하역이나 견인 장비에서 화물을 걸 때 사용되는 고리.
"감각 소음 데시벨 [Perceived Noise Decibel, 感覺騷音decibel]",소음의 피해를 받는 쪽의 감각을 감안한 소음 단위. 노이 수(數)의 총계를 바탕으로 하여 계산한다. 기호는 PNdB.
"감각 신경 [Sensory Nerve, 感覺神經]",감각 기관이 외계에서 받은 자극을 신경 중추에 전하는 신경.
"감염증 [Infection Symptoms, 感染症]","전염병 병원성 미생물(세균, 스피로헤타, 리케차, 바이러스, 진균, 기생충 등)의 감염에 의해서 생기는 병. 사람으로부터 사람으로 또는 동물로부터 동물로 전염되는 것은 전염병이라고 하지만, 패혈증이나 파상풍처럼 환자로부터 직접적으로 전염되..."
"감응 신관 포병 탄약 [Sensor Fused Munitions Artillery, 感應信管砲兵彈藥]","표적 탐지 능력은 있으나 유도 및 탄도 제어 능력이 없는 탄으로서 센서가 장착된 지능 자탄이 표적 상공에서 낙하산이나 날개에 의하여 선회 및 하강하면서 표적을 탐지한 후 타격하는 탄. 미국의 SADARM, MLRS의 BAT자탄, 독일의 SMart, 프랑스..."
"갑판 피복 [Deck Coverin, 甲板被覆]","목갑판, 갑판 포장, 플로어링(flooring) 등 바닥에 까는 것의 총칭."
"강선 시작부 [Forcing Cone, 腔線始作部]",포신이나 총신의 약실에서 강선에 이르는 원추형의 변이부.
강수 공전 [降水空電],"항공기 따위의 물체에 생긴 많은 양의 전하(電荷)가 비, 눈, 진눈깨비, 구름 따위에 의하여 방전되어 생기는 전자파 방해."
"강습 [Assault, Combat Assault, 强襲]","적의 지휘부, 포진지 또는 기관총 진지 같은 특정한 국부 목표에 대하여 기습적으로 짧고 맹렬하게 공격을 감행하는 것."
"강습 항공기 [Assault Aircraft, 强襲航空機]",강습 부대를 목표 지역으로 이동 또는 재보급시키기 위하여 사용되는 항공기.
"개발 환경 보안 [Development Environment Security, 開發環境保安]",정보 시스템을 개발할 때 개발 과정의 안정성을 보장하고 개발 관련 정보의 비밀을 보장하기 위하여 개발자가 유지해야 하는 물리적 · 절차적 · 인적 보안 대책.
"개인 화기 [Personal Weapon, 個人火器]",군인마다 제각기 간수하여야 하는 총포 따위의 병기.
"객체 [Object, 客體]",고유한 식별성이 있고 속성과 행위를 가지고 있는 객체 지향 기술의 기본적인 단위.
"거래 번호 [Transaction Number, 去來番號]","물품 출납 공무원이 거래되는 문서에 부여하는 식별 부호. 매 회계 연도 개시일인 1월 1일부터 순차적으로 부여한 일련 번호이다. 통상 편성 부대 내부의 거래에 사용되며 청구서, 반납증, 수령, 불출, 관리 전환 등 거래 문서와 거래 내용이 일치되어야..."
"걸어총 [Pile Of Arms, --銃]","제식 훈련에서, 총을 서로 기대어 세워 놓으라는 구령. 또는 그 구령에 따라 행하는 동작. 세 자루의 소총을 한 짝으로 하여 삼각뿔 모양으로 서로 기대어 세워 놓는다."
"검묘 [Sighting Anchor, 檢錨]","닻이 매몰될 우려가 있는 묘지에 정박했을 때, 닻을 닻떠(Anchor Aweigh) 상태까지 감아 올렸다 재투묘하여 닻의 매몰을 방지하는 것."
"검사증 [Certificate Of Inspection, 檢査證]","상업 구매에서 선적 서류 중 부수 서류의 일종. 수출품의 품질에 회의적이거나 의심의 여지가 있을 때, 수입업자는 정부의 검사, 중재 검정기관의 검사 또는 수입 대리인의 검사를 요구하는 경우가 있다."
검역소 [檢疫所],검역을 하기 위하여 주요 항구나 공항에 마련된 공공 기관
"격멸 [Destruction, 擊滅]","적의 인원 및 장비를 사살, 파괴 또는 포획하여 적의 전투력을 무력화시키는 공격 행동."
"격발 [Percussion, 擊發]",방아쇠를 당겨 탄환을 쏨. 총의 방아쇠를 당겨 탄약이 폭발하고 발사에 이르는 과정.
"견부 진지 [Shoulder Critical Point, 肩部陣地]",전방 및 측후방을 통제할 수 있고 적의 진출을 막기 위하여 필히 확보하지 않으면 안 되는 요충지. 살상 지역을 형성할 수 있고 차후 작전을 유리하게 하도록 하는 진지.
"견제 공격 [Holding Attack, 牽制攻擊]","적을 현 진지에 고착시키거나 주공을 기만하여, 주공 지역에 적의 증원을 방해조하고 적의 예비대를 조기에 결정적이 아닌 곳에 투입하게 하도록 하기 위하여 조공이 실시하는 공격."
"결심 [Decision, 決心]",(1) 지휘관이 상황을 판단하여 그의 임무를 성공적으로 수행하기 위한 최선의 방책으로서 의도하는 바를 6하원칙에 의거하여 명확하고 간결하게 진술하는 것. (2) 예비 방책을 포함한 모든 문제에 관련된 요소를 고려한 후 얻은 결론.
"결정적 목표 [Decisive Objective, 決定的目標]",단일 목표로서 이를 점령 · 통제 또는 확보함으로써 임무 완수에 가장 효과적으로 공헌하는 목표.
"경계 공역 [Alert Area, 警戒空域]",비행 장애 요소가 많거나 비행 활동이 복잡한 지역으로서 비행 시에 특별히 경계가 요구되는 공역.
"경대전차 무기 [Light Antitank Weapon, 輕對戰車武器]","보병 휴대형 근접 전투 무기이자 500m 이내의 최근접 대전차 무기. 전차에 대한 최종 방어를 수행하는 무기이며, 경량화와 신속한 운용이 요구된다."
"하측파대 [Lower Sideband, 下側波帶]",진폭 변조된 주파수의 스펙트럼 중 반송 주파수보다 낮은 부분에 퍼진 측파대.
"한국 정보 통신 기술 협회 [Telecommunications Technology Association, 韓國情報通信技術協會]","전기 통신 관련 표준화 활동을 위해 1988년 설립된 재단 법인. 전기 통신 방식, 통신 절차, 접속 등의 국내 표준 작성 및 보급과 국내외 표준화 조사 및 연구, 국제 연구단의 구성 및 운영, 국제 표준화 관련 기관과의 협력 활동 등의 업무를 수행한다. 199..."
"한국형 다목적 실용 위성 [Korea Multi Purpose Satellite, 韓國型多目的實用衛星]","우리나라 항공 우주 연구원에서 주관하는 다목적 소형 지구 관측 위성. 일반 명칭으로 '아리랑 위성'이라 하며, 1999년 다목적 실용 위성 1호, 2006년 다목적 실용 위성 2호를 성공적으로 발사하였다."
"함대함 유도탄 [Ship To Ship Missile, 艦對艦誘導彈]",함상에서 적 수상 표적을 공격하기 위한 유도탄.
"함정 모의 훈련 체계 [On Board Training System, 艦艇模擬訓練體系]",항해 및 정박 중인 함정 요원의 전투력 향상을 위해 함정에 탑재한 모의 훈련 체계.
함정 발사 요격 유도 미사일 [Ship Launched Intercept Guided Missile],적의 미사일을 요격하기 위해 함정에서 발사하는 유도 미사일.
함정 자기 [艦艇磁氣],"함정이 갖고 있는 자기. 함정 자기에는 영구 자기와 유도 자기가 있다. 함정은 건조 시 지자장에 의해 자화되는데 일단 자화된 후 영구적으로 잔존하는 자기를 영구 자기라 한다. 영구 자기는 함정 건조 장소의 지자장 세기, 건조 당시의 함수 방위, 건조..."
"함정 통제 및 보호 [Control And Protection Of Shipping, 艦艇統制-保護]","전쟁 또는 위기 상황 발생 시 함정의 안전 운항을 보장하고 함정의 행동이 군작전에 방해가 되지 않도록 하기 위하여 군과 관련 민간 조직에 의해 실시되는 함정의 운용과 이동에 관한 일체의 통제 및 보호. 운용 통제 함정의 출입항, 항내 이동, 화물의 적..."
"함포 사격 방법 [Gunfiring Methods, 艦砲射擊方法]",(1) 전 포 일제 사격(full salvo): 전 포대의 모든 무기에 의한 동시 사격. (2) 일부 일제 사격(partial salvo): 일부 포대의 모든 무기에 의한 동시 사격. (3) 일제 사격(salvo): 동일 표적에 조준한 수 개의 포에 의한 동시 사격.
"함포 사격 수정반 [Naval Gunfire Spotting Team, 艦砲射擊修正班]","표적 지정, 사격 통제, 탄착 수정 등을 실시하는 임무가 부여된 해안 사격 통제대의 일부."
"합동 개념 [Joint Concepts, 合同槪念]","합동 작전을 수행하게 될 개념을 제시해 주는 개략적인 틀. 합동 작전 개념을 포괄하는 의미이다. 상위 개념은 합동 기본 개념이며, 하위 개념은 합동 운영 개념, 합동 기능 개념 및 합동 통합 개념으로 구분한다."
"합동 공정 작전 훈련 [Joint Airborne Training, 合同空挺作戰訓練]","공정 부대와 병력 공수 부대가 참가하는 훈련 작전 또는 연습. 인원 및 장비의 공수, 공정 부대 또는 공수될 부대에 의한 강습 작전, 탑재 연습 및 단기적인 지역의 숙달 비행, 관계 각 군의 합의나 합동 참모 본부의 승인에 따라 실시하는 기동과 연습 등..."
"합동 관측 [Congruence Observation, 合同觀測]",둘 이상의 관측자가 서로 다른 지점에서 사격을 관측하는 일.
합동군 [合同軍],"동일 국가의 육 · 해 · 공군 중에서 2개 군 이상으로 구성된 부대로서, 단일 지휘관의 지휘 · 통제하에 작전하는 부대."
"합동 군사 전략서 [Joint Military Strategy, 合同軍事戰略書]","군사 전략 목표, 군사 전략 개념 및 군사력 건설 방향을 제시하는 문서. 3년 주기로 합참이 작성하고 국방부장관의 승인을 받는다."
"합동 지원 [Joint Service, 合同支援]",(1) 합동 작전 시 합동 부대가 타 군으로부터 지원을 받거나 타군에 지원을 하는 행위. (2) 2개 이상의 군을 지원하기 위해 참모와 예산을 공동 운영하는 일.
